Serving HTTP on :: port 4173 (http://[::]:4173/) ...
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:35] "GET /CSS/edit-page.css HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:35] "GET /CSS/mobile-standalone-enhancements.css HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:35] "GET /HTML%20Files/tabs/visited-locations-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:35] "GET /HTML%20Files/tabs/nature-challenge-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:35] "GET /HTML%20Files/tabs/bike-trails-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:35] "GET /HTML%20Files/tabs/household-tools-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:35] "GET /HTML%20Files/tabs/birding-locations-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:35] "GET /HTML%20Files/tabs/recipes-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:35] "GET /data/app-backup-manifest.json HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:35] "GET /HTML%20Files/tabs/garden-planner-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:35] "GET /HTML%20Files/tabs/budget-planner-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:35] "GET /HTML%20Files/offline-pack-health.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:35] "GET /data/nature-challenge-birds.tsv HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:39] "GET /data/app-backup-manifest.json HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET / HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/button-reliability-system.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/app-quality-system.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/clean-tag-manager.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/button-handlers.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/location-history-manager.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/consolidated-automation-system-v7-0-141.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/consolidated-bulk-operations-system-v7-0-141.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/consolidated-city-viewer-system-v7-0-141.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/backup-manager.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/consolidated-tag-system-v7-0-141.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/consolidated-comprehensive-fix-system-v7-0-141.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/consolidated-debug-error-system-v7-0-141.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/reliability-ops.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/button-action-guard.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/bike-trails-tab-system.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/adventure-achievements-system.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/multi-select-bulk-actions.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/visited-locations-tab-system.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/pwa-offline-system.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/nature-challenge-tab-system.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /sighting-map-phase5.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/tab-content-loader.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/tab-regression-harness.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/runtime-hotfixes.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /JS%20Files/kh-feedback-renderer.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /CSS/sighting-map.css HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /sw.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /index.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /manifest.webmanifest HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /CSS/design-tokens.css HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /CSS/components.css HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /CSS/utilities.css HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /CSS/browse-page.css HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /CSS/edit-page.css HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /CSS/bike-details-window.css HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /HTML%20Files/tabs/visited-locations-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /HTML%20Files/tabs/nature-challenge-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /CSS/mobile-standalone-enhancements.css HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /HTML%20Files/tabs/bike-trails-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /data/app-backup-manifest.json HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /HTML%20Files/tabs/birding-locations-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /HTML%20Files/tabs/recipes-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /HTML%20Files/tabs/household-tools-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /HTML%20Files/tabs/garden-planner-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /HTML%20Files/tabs/budget-planner-tab.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /HTML%20Files/offline-pack-health.html HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:40] "GET /data/nature-challenge-birds.tsv HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET / HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/app-quality-system.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/button-reliability-system.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/clean-tag-manager.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/location-history-manager.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/backup-manager.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/button-handlers.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/consolidated-bulk-operations-system-v7-0-141.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/consolidated-city-viewer-system-v7-0-141.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/consolidated-automation-system-v7-0-141.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/consolidated-comprehensive-fix-system-v7-0-141.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/consolidated-tag-system-v7-0-141.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/consolidated-debug-error-system-v7-0-141.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/button-action-guard.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/reliability-ops.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/multi-select-bulk-actions.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/bike-trails-tab-system.js HTTP/1.1" 200 -
::ffff:127.0.0.1 - - [13/Apr/2026 15:46:42] "GET /JS%20Files/visited-locations-tab-system.js HTTP/1.1" 200 -
